Sample,Mesocosm,Species,Depth,Substrate,Pesticides,Concentration,Pesticide_Concentration,Biochar,Concentration_Biochar
SC1-0-15-G,SC1,Scirp.cyp,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SC1-15-30-G,SC1,Scirp.cyp,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SC2-0-15-G,SC2,Scirp.cyp,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SC2-15-30-G,SC2,Scirp.cyp,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SC3-0-15-G,SC3,Scirp.cyp,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SC3-15-30-G,SC3,Scirp.cyp,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SM1-0-15-G,SM1,Spor.mich,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SM1-15-30-G,SM1,Spor.mich,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SM2-0-15-G,SM2,Spor.mich,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SM2-15-30-G,SM2,Spor.mich,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SM3-0-15-G,SM3,Spor.mich,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SM3-15-30-G,SM3,Spor.mich,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
PA1-0-15-G,PA1,Phrag.aust,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
PA1-15-30-G,PA1,Phrag.aust,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
PA2-0-15-G,PA2,Phrag.aust,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
PA2-15-30-G,PA2,Phrag.aust,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
PA3-0-15-G,PA3,Phrag.aust,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
PA3-15-30-G,PA3,Phrag.aust,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
SCB1-0-15-G,SCB1,Scirp.cyp,0-15 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
SCB1-15-30-G,SCB1,Scirp.cyp,15-30 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
SCB2-0-15-G,SCB2,Scirp.cyp,0-15 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
SCB2-15-30-G,SCB2,Scirp.cyp,15-30 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
SCB3-0-15-G,SCB3,Scirp.cyp,0-15 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
SCB3-15-30-G,SCB3,Scirp.cyp,15-30 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
GC-0-15-G,GC,Unplanted,0-15 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
GC-15-30-G,GC,Unplanted,15-30 cm,Gravel,Pesticides-,0,None,Biochar-,None - Biochar-
BC-0-15-G,BC,Unplanted,0-15 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
BC-15-30-G,BC,Unplanted,15-30 cm,Gravel,Pesticides-,0,None,Biochar+,None - Biochar+
P-SC1-0-15-G,SC1,Scirp.cyp,0-15 cm,Gravel,Pesticides+,1,Low,Biochar-,Low - Biochar-
P-SC1-15-30-G,SC1,Scirp.cyp,15-30 cm,Gravel,Pesticides+,1,Low,Biochar-,Low - Biochar-
P-SC2-0-15-G,SC2,Scirp.cyp,0-15 cm,Gravel,Pesticides+,5,Medium,Biochar-,Medium - Biochar-
P-SC2-15-30-G,SC2,Scirp.cyp,15-30 cm,Gravel,Pesticides+,5,Medium,Biochar-,Medium - Biochar-
P-SC3-0-15-G,SC3,Scirp.cyp,0-15 cm,Gravel,Pesticides+,12.5,High,Biochar-,High - Biochar-
P-SC3-15-30-G,SC3,Scirp.cyp,15-30 cm,Gravel,Pesticides+,12.5,High,Biochar-,High - Biochar-
P-SCB1-0-15-G,SCB1,Scirp.cyp,0-15 cm,Gravel,Pesticides+,1,Low,Biochar+,Low - Biochar+
P-SCB1-15-30-G,SCB1,Scirp.cyp,15-30 cm,Gravel,Pesticides+,1,Low,Biochar+,Low - Biochar+
P-SCB2-0-15-G,SCB2,Scirp.cyp,0-15 cm,Gravel,Pesticides+,5,Medium,Biochar+,Medium - Biochar+
P-SCB2-15-30-G,SCB2,Scirp.cyp,15-30 cm,Gravel,Pesticides+,5,Medium,Biochar+,Medium - Biochar+
P-SCB3-0-15-G,SCB3,Scirp.cyp,0-15 cm,Gravel,Pesticides+,12.5,High,Biochar+,High - Biochar+
P-SCB3-15-30-G,SCB3,Scirp.cyp,15-30 cm,Gravel,Pesticides+,12.5,High,Biochar+,High - Biochar+
P-GC-0-15-G,GC,Unplanted,0-15 cm,Gravel,Pesticides+,12.5,High,Biochar-,High - Biochar-
P-GC-15-30-G,GC,Unplanted,15-30 cm,Gravel,Pesticides+,12.5,High,Biochar-,High - Biochar-
P-BC-0-15-G,BC,Unplanted,0-15 cm,Gravel,Pesticides+,12.5,High,Biochar+,High - Biochar+
P-BC-15-30-G,BC,Unplanted,15-30 cm,Gravel,Pesticides+,12.5,High,Biochar+,High - Biochar+
SC1-0-15-R,SC1,Scirp.cyp,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SC1-15-30-R,SC1,Scirp.cyp,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SC2-0-15-R,SC2,Scirp.cyp,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SC2-15-30-R,SC2,Scirp.cyp,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SC3-0-15-R,SC3,Scirp.cyp,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SC3-15-30-R,SC3,Scirp.cyp,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SM1-0-15-R,SM1,Spor.mich,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SM1-15-30-R,SM1,Spor.mich,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SM2-0-15-R,SM2,Spor.mich,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SM2-15-30-R,SM2,Spor.mich,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SM3-0-15-R,SM3,Spor.mich,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SM3-15-30-R,SM3,Spor.mich,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
PA1-0-15-R,PA1,Phrag.aust,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
PA1-15-30-R,PA1,Phrag.aust,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
PA2-0-15-R,PA2,Phrag.aust,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
PA2-15-30-R,PA2,Phrag.aust,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
PA3-0-15-R,PA3,Phrag.aust,0-15 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
PA3-15-30-R,PA3,Phrag.aust,15-30 cm,Roots,Pesticides-,0,None,Biochar-,None - Biochar-
SCB1-0-15-R,SCB1,Scirp.cyp,0-15 cm,Roots,Pesticides-,0,None,Biochar+,None - Biochar+
SCB1-15-30-R,SCB1,Scirp.cyp,15-30 cm,Roots,Pesticides-,0,None,Biochar+,None - Biochar+
SCB2-0-15-R,SCB2,Scirp.cyp,0-15 cm,Roots,Pesticides-,0,None,Biochar+,None - Biochar+
SCB2-15-30-R,SCB2,Scirp.cyp,15-30 cm,Roots,Pesticides-,0,None,Biochar+,None - Biochar+
SCB3-0-15-R,SCB3,Scirp.cyp,0-15 cm,Roots,Pesticides-,0,None,Biochar+,None - Biochar+
SCB3-15-30-R,SCB3,Scirp.cyp,15-30 cm,Roots,Pesticides-,0,None,Biochar+,None - Biochar+
P-SC1-0-15-R,SC1,Scirp.cyp,0-15 cm,Roots,Pesticides+,1,Low,Biochar-,Low - Biochar-
P-SC1-15-30-R,SC1,Scirp.cyp,15-30 cm,Roots,Pesticides+,1,Low,Biochar-,Low - Biochar-
P-SC2-0-15-R,SC2,Scirp.cyp,0-15 cm,Roots,Pesticides+,5,Medium,Biochar-,Medium - Biochar-
P-SC2-15-30-R,SC2,Scirp.cyp,15-30 cm,Roots,Pesticides+,5,Medium,Biochar-,Medium - Biochar-
P-SC3-0-15-R,SC3,Scirp.cyp,0-15 cm,Roots,Pesticides+,12.5,High,Biochar-,High - Biochar-
P-SC3-15-30-R,SC3,Scirp.cyp,15-30 cm,Roots,Pesticides+,12.5,High,Biochar-,High - Biochar-
P-SCB1-0-15-R,SCB1,Scirp.cyp,0-15 cm,Roots,Pesticides+,1,Low,Biochar+,Low - Biochar+
P-SCB1-15-30-R,SCB1,Scirp.cyp,15-30 cm,Roots,Pesticides+,1,Low,Biochar+,Low - Biochar+
P-SCB2-0-15-R,SCB2,Scirp.cyp,0-15 cm,Roots,Pesticides+,5,Medium,Biochar+,Medium - Biochar+
P-SCB2-15-30-R,SCB2,Scirp.cyp,15-30 cm,Roots,Pesticides+,5,Medium,Biochar+,Medium - Biochar+
P-SCB3-0-15-R,SCB3,Scirp.cyp,0-15 cm,Roots,Pesticides+,12.5,High,Biochar+,High - Biochar+
P-SCB3-15-30-R,SCB3,Scirp.cyp,15-30 cm,Roots,Pesticides+,12.5,High,Biochar+,High - Biochar+
